"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Testing capital.com. All language. All license","F_10 | Testing 'Promo Market' widget","S_10.01 | Testing 'Trade Now' button on the 'Promo Market' widget","0","0","6","0","0"
"Testing capital.com. All language. All license","F_01 | Testing header","S_01.02 | Testing 'Trade Now' button on the header","0","0","6","0","0"
"Testing capital.com. All language. All license","F_01 | Testing header","S_01.01 | Testing 'Log In' button on the header","0","0","6","0","0"
"Testing capital.com. All language. All license","F_04 | Testing '2' tab 'Main' banner. Only for 'En' language","S_04.02 | Testing 'Start trading' button on the 2 tab 'Main' banner","0","0","6","0","0"
"Testing capital.com. All language. All license","F_09 | Testing 'Still looking for ...' widget","S_09.01 | Testing 'Create your account' button on the 'Still looking for ...' widget","0","0","6","0","0"
"Testing capital.com. All language. All license","F_04 | Testing '2' tab 'Main' banner. Only for 'En' language","S_04.01 | Testing 'Take me there' button on the 2 tab 'Main' banner","0","0","6","0","0"
"Testing capital.com. All language. All license","F_03 | Testing '1' tab 'Main' banner. Only for 'En' language","S_03.01 | Testing 'Trade Now' button on the 1 tab 'Main' banner","0","0","6","0","0"
"Testing capital.com. All language. All license","F_08 | Widget [Trading instrument]","S_08.07 | Widget [Trading instrument] tab [ETFs] button [Trade]","0","0","6","0","0"
"Testing capital.com. All language. All license","F_05 | Testing '3' tab 'Main' banner. Only for 'En' language","S_05.01 | Testing 'Learn more' button on the 3 tab (1 layout) 'Main' banner","0","0","6","0","0"
"Testing capital.com. All language. All license","F_05 | Testing '3' tab 'Main' banner. Only for 'En' language","S_05.02 | Testing 'Start trading' button on the 3 tab (1 layout) 'Main' banner","0","0","6","0","0"
"Testing capital.com. All language. All license","F_03 | Testing '1' tab 'Main' banner. Only for 'En' language","S_03.02 | Testing 'Practise for free' button on the 1 tab 'Main' banner","0","0","6","0","0"
"Testing capital.com. All language. All license","F_06 | Testing '4' tab 'Main' banner. Only for 'En' language","S_06.01 | Testing 'Explore features' button on the 4 tab 'Main' banner","0","0","6","0","0"
"Testing capital.com. All language. All license","F_08 | Widget [Trading instrument]","S_08.02 | Widget [Trading instrument] tab [Commodities] button [Trade]","0","2","4","0","0"
"Testing capital.com. All language. All license","F_02 | Testing 'Main' banner. Not for En language","S_02.01 | Testing 'Jetzt traden' button on the 'Main' banner","0","0","6","0","0"
"Testing capital.com. All language. All license","F_08 | Widget [Trading instrument]","S_08.06 | Widget [Trading instrument] tab [Forex] button [Trade]","0","0","6","0","0"
"Testing capital.com. All language. All license","F_13 | Testing 'New to trading?' widget","S_13.01 | Testing 'Practise for free' button on the 'Explore our platform' widget","0","1","5","0","0"
"Testing capital.com. All language. All license","F_14 | Testing 'Trading calculator' widget","S_14.01 | Testing 'Start trading' button on the 'Trading calculator' widget","0","0","6","0","0"
"Testing capital.com. All language. All license","F_07 | Testing 'Why Capital.com?' banner. Not for 'En' language","S_07.01 | Testing 'Jetzt traden' button on the 'Warum Capital.com?' banner","0","0","6","0","0"
"Testing capital.com. All language. All license","F_03 | Testing '1' tab 'Main' banner. Only for 'En' language","S_03.03 | Testing 'Open account' button on the 1 tab 'Main' banner","0","0","6","0","0"
"Testing capital.com. All language. All license","F_15 | Testing 'Trader's Dashboard' widget","S_15.01 | Testing 'Trade' button on the 'Trader's Dashboard' widget","0","0","6","0","0"
"Testing capital.com. All language. All license","F_04 | Testing '2' tab 'Main' banner. Only for 'En' language","S_04.03 | Testing 'Practise for free' button on the 2 tab 'Main' banner","0","0","6","0","0"
"Testing capital.com. All language. All license","F_12 | Testing 'New To Trading?' banner","S_12.01 | Testing 'Practise for free' button on the 'New To Trading?' banner","0","0","6","0","0"
"Testing capital.com. All language. All license","F_08 | Widget [Trading instrument]","S_08.01 | Widget [Trading instrument] tab [Most traded] button [Trade]","0","0","6","0","0"
"Testing capital.com. All language. All license","F_08 | Widget [Trading instrument]","S_08.05 | Widget [Trading instrument] tab [Shares] button [Trade]","0","0","6","0","0"
"Testing capital.com. All language. All license","F_02 | Testing 'Main' banner. Not for En language","S_02.02 | Testing 'Kostenloses Demokonto' button on the 'Main' banner","0","0","6","0","0"
"Testing capital.com. All language. All license","F_08 | Widget [Trading instrument]","S_08.03 | Widget [Trading instrument] tab [Indices] button [Trade]","0","2","4","0","0"
"Testing capital.com. All language. All license","F_08 | Widget [Trading instrument]","S_08.04 | Widget [Trading instrument] tab [Cryptocurrencies] button [Trade]","0","0","6","0","0"
"Testing capital.com. All language. All license","F_16 | Testing 'Counters' banner","S_16.01 | Testing 'Try now' button on the 'Counters' banner","0","0","6","0","0"
"Testing capital.com. All language. All license","F_11 | Testing 'Explore our platform' widget","S_11.01 | Testing 'Try now' button on the 'Explore our platform' widget","0","0","6","0","0"
"Testing capital.com. All language. All license","F_05 | Testing '3' tab 'Main' banner. Only for 'En' language","S_05.03 | Testing 'Start trading' button on the 3 tab (2 layout) 'Main' banner","0","0","6","0","0"
"Testing capital.com. All language. All license","F_05 | Testing '3' tab 'Main' banner. Only for 'En' language","S_05.04 | Testing 'Practise for free' button on the 3 tab (2 layout) 'Main' banner","0","0","6","0","0"
