"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_05 Testing Glossary Item page in ""Learn to trade"" menu","TS_05 | Test menu [Learn to Trade] / [Glossary] / [item]","TC_05.04 | Testing button under video banner [Capital.com]","55","0","56","0","0"
"US_05 Testing Glossary Item page in ""Learn to trade"" menu","TS_05 | Test menu [Learn to Trade] / [Glossary] / [item]","TC_05.05 | Testing buttons on vertical or horisontal banner","57","0","54","0","0"
"US_05 Testing Glossary Item page in ""Learn to trade"" menu","TS_05 | Test menu [Learn to Trade] / [Glossary] / [item]","TC_05.01 | Testing 'Log In' button on the header page","0","0","111","0","0"
"US_05 Testing Glossary Item page in ""Learn to trade"" menu","TS_05 | Test menu [Learn to Trade] / [Glossary] / [item]","TC_05.06 | Testing '1. Create your accaunt' button in 'Steps trading' block","0","0","111","0","0"
"US_05 Testing Glossary Item page in ""Learn to trade"" menu","TS_05 | Test menu [Learn to Trade] / [Glossary] / [item]","TC_05.03 | Testing video banner [Capital.com]","55","0","56","0","0"
"US_05 Testing Glossary Item page in ""Learn to trade"" menu","TS_05 | Test menu [Learn to Trade] / [Glossary] / [item]","TC_05.02 | Testing 'Trade Now' button on the header page","0","0","111","0","0"
