"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_08 | Widget [Trading instrument]","S_08.01 | Widget [Trading instrument] tab [Most traded] button [Trade]","0","12","80","111","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_05 | Testing '3' tab 'Main' banner. Only for 'En' language","S_05.02 | Testing 'Start trading' button on the 3 tab (1 layout) 'Main' banner","0","0","0","203","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_04 | Testing '2' tab 'Main' banner. Only for 'En' language","S_04.02 | Testing 'Start trading' button on the 2 tab 'Main' banner","0","0","1","202","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","TS_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","S_04.02 | Testing 'Start trading' button on the 2 tab 'Main' banner","0","0","1","202","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_08 | Widget [Trading instrument]","S_08.02 | Widget [Trading instrument] tab [Commodities] button [Trade]","0","20","95","88","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_15 | Testing 'Trader's Dashboard' widget","S_15.01 | Testing 'Trade' button on the 'Trader's Dashboard' widget","0","0","4","199","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_02 | Testing 'Main' banner. Not for En language","S_02.01 | Testing 'Jetzt traden' button on the 'Main' banner","0","0","70","133","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_13 | Testing 'New to trading?' widget","S_13.01 | Testing 'Practise for free' button on the 'Explore our platform' widget","0","17","85","101","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_02 | Testing 'Main' banner. Not for En language","S_02.02 | Testing 'Kostenloses Demokonto' button on the 'Main' banner","0","0","84","119","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_03 | Testing '1' tab 'Main' banner. Only for 'En' language","S_03.01 | Testing 'Trade Now' button on the 1 tab 'Main' banner","0","0","3","200","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_04 | Testing '2' tab 'Main' banner. Only for 'En' language","S_04.03 | Testing 'Practise for free' button on the 2 tab 'Main' banner","0","0","0","203","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","TS_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","S_04.03 | Testing 'Practise for free' button on the 2 tab 'Main' banner","0","0","0","203","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_05 | Testing '3' tab 'Main' banner. Only for 'En' language","S_05.05 | Testing 'Explore features' button on the 3 tab (2 layout) 'Main' banner","0","0","1","202","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_14 | Testing 'Trading calculator' widget","S_14.01 | Testing 'Start trading' button on the 'Trading calculator' widget","0","0","5","198","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_08 | Widget [Trading instrument]","S_08.05 | Widget [Trading instrument] tab [Shares] button [Trade]","0","15","91","97","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_10 | Testing 'Promo Market' widget","S_10.01 | Testing 'Trade Now' button on the 'Promo Market' widget","0","0","2","201","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_03 | Testing '1' tab 'Main' banner. Only for 'En' language","S_03.02 | Testing 'Practise for free' button on the 1 tab 'Main' banner","0","0","2","201","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_07 | Testing 'Why Capital.com?' banner. Not for 'En' language","S_07.01 | Testing 'Jetzt traden' button on the 'Warum Capital.com?' banner","0","0","86","117","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_16 | Testing 'Counters' banner","S_16.01 | Testing 'Try now' button on the 'Counters' banner","0","0","65","138","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_09 | Testing 'Still looking for ...' widget","S_09.01 | Testing 'Create your account' button on the 'Still looking for ...' widget","14","0","107","82","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_05 | Testing '3' tab 'Main' banner. Only for 'En' language","S_05.01 | Testing 'Learn more' button on the 3 tab (1 layout) 'Main' banner","0","0","0","203","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_08 | Widget [Trading instrument]","S_08.03 | Widget [Trading instrument] tab [Indices] button [Trade]","0","15","98","90","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","TS_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","S_03.03 | Testing 'Open account' button on the 1 tab 'Main' banner","0","0","0","203","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_03 | Testing '1' tab 'Main' banner. Only for 'En' language","S_03.03 | Testing 'Open account' button on the 1 tab 'Main' banner","0","0","0","203","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_03 | Testing '1' tab 'Main' banner. Only for 'En' language","S_03.04 | Testing 'Start trading' button on the 1 tab 'Main' banner","0","3","0","200","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","TS_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","S_03.04 | Testing 'Start trading' button on the 1 tab 'Main' banner","0","3","0","200","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_08 | Widget [Trading instrument]","S_08.06 | Widget [Trading instrument] tab [Forex] button [Trade]","0","15","84","104","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_01 | Testing header","S_01.02 | Testing 'Trade Now' button on the header","0","0","98","105","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_11 | Testing 'Explore our platform' widget","S_11.01 | Testing 'Try now' button on the 'Explore our platform' widget","11","0","103","89","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_01 | Testing header","S_01.01 | Testing 'Log In' button on the header","0","0","113","90","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_05 | Testing '3' tab 'Main' banner. Only for 'En' language","S_05.03 | Testing 'Start trading' button on the 3 tab (2 layout) 'Main' banner","0","0","1","202","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_06 | Testing '4' tab 'Main' banner. Only for 'En' language","S_06.01 | Testing 'Explore features' button on the 4 tab 'Main' banner","0","5","0","198","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_05 | Testing '3' tab 'Main' banner. Only for 'En' language","S_05.04 | Testing 'Practise for free' button on the 3 tab (2 layout) 'Main' banner","0","0","1","202","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_08 | Widget [Trading instrument]","S_08.07 | Widget [Trading instrument] tab [ETFs] button [Trade]","0","14","81","108","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_08 | Widget [Trading instrument]","S_08.04 | Widget [Trading instrument] tab [Cryptocurrencies] button [Trade]","0","15","84","104","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_12 | Testing 'New To Trading?' banner","S_12.01 | Testing 'Practise for free' button on the 'New To Trading?' banner","0","0","66","137","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","F_04 | Testing '2' tab 'Main' banner. Only for 'En' language","S_04.01 | Testing 'Take me there' button on the 2 tab 'Main' banner","0","2","0","201","0"
"US_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","TS_01 | Testing 'Log In' / 'Signup' elements on the main page capital.com","S_04.01 | Testing 'Take me there' button on the 2 tab 'Main' banner","0","2","0","201","0"
